<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDRUB,M,01/01/00,000000,27.4900000,29.2500000,25.2670000,28.6480000,0
USDRUB,M,01/02/00,000000,28.6480000,28.9270000,28.5800000,28.6980000,0
USDRUB,M,01/03/00,000000,28.6980000,28.8200000,28.2820000,28.6000000,0
USDRUB,M,01/04/00,000000,28.6570000,29.0000000,28.2400000,28.1800000,0
USDRUB,M,01/05/00,000000,28.4400000,28.5700000,27.6700000,28.0000000,0
USDRUB,M,01/06/00,000000,28.2370000,28.5800000,27.8500000,27.8200000,0
USDRUB,M,01/07/00,000000,28.0670000,28.3100000,27.3100000,27.8400000,0
USDRUB,M,01/08/00,000000,27.8270000,28.0200000,27.4600000,27.7700000,0
USDRUB,M,01/09/00,000000,27.7700000,28.2300000,27.5200000,27.5300000,0
USDRUB,M,01/10/00,000000,27.5300000,28.1980000,27.5300000,27.6300000,0
USDRUB,M,01/11/00,000000,27.8600000,27.9270000,27.7280000,27.6900000,0
USDRUB,M,01/12/00,000000,27.9270000,28.6200000,27.8900000,28.2900000,0
USDRUB,M,01/01/01,000000,28.5700000,28.6400000,28.3200000,28.2200000,0
USDRUB,M,01/02/01,000000,28.4700000,28.7850000,28.4560000,28.4200000,0
USDRUB,M,01/03/01,000000,28.6580000,28.7890000,28.4200000,28.5400000,0
USDRUB,M,01/04/01,000000,28.7890000,28.9400000,28.7890000,28.6900000,0
USDRUB,M,01/05/01,000000,28.8370000,29.1700000,28.8370000,28.9200000,0
USDRUB,M,01/06/01,000000,28.9200000,29.1800000,28.8600000,28.9000000,0
USDRUB,M,01/07/01,000000,28.9000000,29.3400000,28.8900000,29.1000000,0
USDRUB,M,01/08/01,000000,29.1000000,29.4500000,29.0700000,29.1700000,0
USDRUB,M,01/09/01,000000,29.4540000,29.4800000,28.4800000,29.2200000,0
USDRUB,M,01/10/01,000000,29.4350000,29.7300000,28.0100000,29.7100000,0
USDRUB,M,01/11/01,000000,29.7300000,30.0200000,29.4800000,29.9300000,0
USDRUB,M,01/12/01,000000,29.6900000,30.8000000,29.6900000,30.2000000,0
USDRUB,M,01/01/02,000000,30.2500000,30.7400000,30.2100000,30.7000000,0
USDRUB,M,01/02/02,000000,30.7200000,31.0200000,30.5000000,30.9600000,0
USDRUB,M,01/03/02,000000,30.7100000,31.2200000,30.7100000,31.1100000,0
USDRUB,M,01/04/02,000000,31.2300000,31.2700000,30.9200000,31.2400000,0
USDRUB,M,01/05/02,000000,31.0800000,31.3500000,30.9900000,31.3300000,0
USDRUB,M,01/06/02,000000,31.0900000,31.5200000,31.0900000,31.5100000,0
USDRUB,M,01/07/02,000000,31.5200000,31.7200000,31.2600000,31.5300000,0
USDRUB,M,01/08/02,000000,31.2800000,31.6400000,31.2800000,31.6000000,0
USDRUB,M,01/09/02,000000,31.3600000,31.7200000,31.3600000,31.7100000,0
USDRUB,M,01/10/02,000000,31.7300000,32.0600000,31.4300000,31.7500000,0
USDRUB,M,01/11/02,000000,31.7900000,32.1300000,31.5400000,31.8500000,0
USDRUB,M,01/12/02,000000,31.6000000,32.3700000,31.3600000,31.9300000,0
USDRUB,M,01/01/03,000000,31.7700000,31.9800000,31.1900000,31.8400000,0
USDRUB,M,01/02/03,000000,31.8400000,31.8700000,31.3700000,31.5600000,0
USDRUB,M,01/03/03,000000,31.5700000,31.8600000,31.3600000,31.3600000,0
USDRUB,M,01/04/03,000000,31.3800000,31.3800000,31.0900000,31.1100000,0
USDRUB,M,01/05/03,000000,31.0900000,31.1200000,30.6100000,30.6900000,0
USDRUB,M,01/06/03,000000,30.6300000,30.7600000,30.3000000,30.1900000,0
USDRUB,M,01/07/03,000000,30.3400000,30.5600000,30.2400000,30.2600000,0
USDRUB,M,01/08/03,000000,30.2600000,30.5400000,30.2600000,30.5000000,0
USDRUB,M,01/09/03,000000,30.5100000,30.7400000,30.4000000,30.4300000,0
USDRUB,M,01/10/03,000000,30.5600000,30.5700000,29.8100000,29.9500000,0
USDRUB,M,01/11/03,000000,29.9300000,29.9600000,29.6600000,29.7300000,0
USDRUB,M,01/12/03,000000,29.7400000,29.7400000,29.1500000,29.2300000,0
USDRUB,M,01/01/04,000000,29.2500000,29.2600000,28.4600000,28.5300000,0
USDRUB,M,01/02/04,000000,28.5100000,28.6800000,28.4100000,28.5100000,0
USDRUB,M,01/03/04,000000,28.5000000,28.7100000,28.4800000,28.5100000,0
